weekday,netflix_minutes,ml_purchases_total,music_minutes
Monday,58,3,26
Tuesday,86,7,27
Wednesday,119,4,25
Thursday,83,5,31
Friday,116,2,33
Saturday,175,2,37
Sunday,217,4,42
